Timestamp,Open,High,Low,Close,Volume
2021-07-06,33672.72,35120.0,33500.0,34206.01,644229.007
2021-07-07,34206.0,35089.56,33756.48,33845.64,456218.909
2021-07-08,33845.63,33910.0,32066.0,32852.04,650317.664
2021-07-09,32855.0,34100.0,32250.0,33805.01,485662.879
2021-07-10,33805.01,34248.58,33010.0,33497.98,410271.979
2021-07-11,33497.98,34629.62,33306.03,34253.81,343905.35
2021-07-12,34253.88,34662.73,32650.0,33070.87,502747.758
2021-07-13,33070.86,33336.0,32186.99,32709.09,466567.713
2021-07-14,32708.66,33176.47,31556.02,32803.01,521140.41
2021-07-15,32803.0,33170.0,31140.0,31866.43,539111.667
2021-07-16,31865.53,32245.0,31018.59,31382.95,516577.743
2021-07-17,31382.96,31945.0,31150.02,31496.65,422650.418
2021-07-18,31496.65,32435.93,31075.1,31767.0,412189.401
2021-07-19,31765.23,31890.0,30358.77,30823.62,486305.627
2021-07-20,30823.62,31050.0,29242.24,29775.9,602688.19
2021-07-21,29775.89,32883.9,29472.41,32120.0,787077.39
2021-07-22,32120.0,32583.48,31700.0,32268.11,397258.936
2021-07-23,32268.12,33650.0,31970.82,33634.46,404650.016
2021-07-24,33631.74,34471.0,33379.81,34230.0,376046.028
2021-07-25,34230.0,35400.0,33812.0,35370.66,404114.844
2021-07-26,35370.67,48168.6,35185.49,37218.09,1162332.857
2021-07-27,37218.09,39546.34,36384.31,39442.33,675104.157
2021-07-28,39448.06,40894.0,38753.0,40003.08,736196.234
2021-07-29,40003.08,40665.0,39203.83,40012.9,463917.872
2021-07-30,40012.89,42316.6,38320.0,42203.25,561474.309
2021-07-31,42202.6,42494.0,41030.19,41448.11,381521.899
2021-08-01,41448.1,42614.98,39350.4,39846.78,487529.044
2021-08-02,39846.78,40450.0,38658.0,39147.48,451872.128
2021-08-03,39147.47,39774.93,37600.0,38203.26,517219.517
2021-08-04,38201.33,39975.32,37500.0,39731.31,479560.473
2021-08-05,39731.31,41350.0,37291.0,40882.4,746249.712
2021-08-06,40882.39,43400.0,39849.82,42825.43,653451.154
2021-08-07,42825.43,44753.01,42395.2,44601.11,583750.891
2021-08-08,44601.11,45350.0,43265.0,43787.71,553684.698
2021-08-09,43787.71,46483.0,42785.0,46259.7,626220.503
2021-08-10,46259.7,46800.0,44670.05,45589.99,460478.861
2021-08-11,45589.99,46754.27,45354.0,45522.12,390660.571
2021-08-12,45522.13,46226.67,43800.0,44385.09,468276.056
2021-08-13,44385.09,47980.69,44208.88,47792.52,438025.46
2021-08-14,47792.52,48300.0,46000.0,47083.74,374368.796
2021-08-15,47083.75,47388.75,45480.0,47006.02,370950.807
2021-08-16,47006.02,48074.23,45682.03,45926.23,412537.605
2021-08-17,45926.23,47194.0,44412.01,44704.84,474316.4
2021-08-18,44704.85,46050.0,44227.32,44714.09,395836.158
2021-08-19,44714.09,47100.0,43938.38,46772.0,439402.162
2021-08-20,46772.0,49500.0,46650.0,49332.74,401499.081
2021-08-21,49332.99,49833.0,48250.0,48848.29,347594.451
2021-08-22,48846.11,49556.2,48075.81,49273.28,294672.223
2021-08-23,49273.28,50600.0,49075.01,49523.91,355733.496
2021-08-24,49523.23,49888.88,47600.0,47719.36,398682.002
2021-08-25,47719.37,49297.8,47130.57,48992.65,389100.384
2021-08-26,48992.65,49380.0,46280.0,46853.06,475183.123
2021-08-27,46854.22,49220.0,46359.97,49083.98,403667.012
2021-08-28,49082.13,49333.0,48395.65,48931.99,222793.024
2021-08-29,48931.99,49769.2,47741.31,48795.41,315105.499
2021-08-30,48795.42,48916.25,46876.49,47024.7,351830.754
