Timestamp,Open,High,Low,Close,Volume
2021-07-06,2195.38,2349.92,2191.24,2322.04,4197100.45
2021-07-07,2321.82,2410.0,2292.94,2314.65,3113882.674
2021-07-08,2314.64,2326.58,2082.07,2114.88,4154305.408
2021-07-09,2114.81,2189.27,2045.0,2147.53,4166847.297
2021-07-10,2147.4,2195.0,2073.0,2111.14,2803372.98
2021-07-11,2111.14,2175.0,2080.0,2140.27,2154716.197
2021-07-12,2140.26,2167.95,2003.4,2030.85,2941659.373
2021-07-13,2030.78,2048.97,1916.0,1940.32,3641617.739
2021-07-14,1940.31,2018.55,1862.32,1993.82,4274762.909
2021-07-15,1993.82,2042.1,1880.29,1919.35,3891662.256
2021-07-16,1919.36,1965.85,1846.0,1876.1,3797831.436
2021-07-17,1876.09,1919.0,1841.0,1898.55,3169044.845
2021-07-18,1898.55,1994.26,1875.0,1890.66,3350134.623
2021-07-19,1890.8,1917.82,1801.0,1818.4,3317206.573
2021-07-20,1818.4,1841.34,1715.0,1785.04,4510417.88
2021-07-21,1785.2,2038.0,1752.35,1995.49,5466949.512
2021-07-22,1995.5,2046.0,1945.0,2023.55,3739570.52
2021-07-23,2024.0,2131.96,1995.02,2124.33,3237000.868
2021-07-24,2124.34,2198.0,2105.4,2183.53,2900599.605
2021-07-25,2183.54,2197.0,2106.12,2188.11,2654022.719
2021-07-26,2188.15,2433.53,2170.03,2227.41,5648553.005
2021-07-27,2227.44,2319.0,2150.0,2298.04,4077823.745
2021-07-28,2298.05,2345.54,2242.2,2300.08,3309639.002
2021-07-29,2300.12,2406.44,2263.33,2382.45,2369811.378
2021-07-30,2382.45,2473.99,2316.03,2461.72,3555703.039
2021-07-31,2461.52,2553.8,2421.76,2530.49,2363945.704
2021-08-01,2530.37,2699.0,2511.88,2554.71,4203633.648
2021-08-02,2554.72,2666.91,2506.11,2607.09,3757454.702
2021-08-03,2607.09,2633.27,2441.0,2506.87,4035094.388
2021-08-04,2506.5,2775.06,2456.83,2725.0,4639321.233
2021-08-05,2725.0,2845.9,2527.0,2826.8,6430648.209
2021-08-06,2826.81,2948.36,2720.31,2892.3,3957430.19
2021-08-07,2892.29,3176.0,2865.45,3163.26,5211893.648
2021-08-08,3163.26,3195.67,2950.45,3014.06,4207474.0
2021-08-09,3014.06,3190.8,2890.03,3163.43,4997024.855
2021-08-10,3163.43,3239.13,3053.24,3143.98,4011325.684
